"scenario","iteration","year","SpawnBio_re","LnQ_base_ResFish_3_re"
"HRF_poorrec_25_yrfwd",1,1949,-0.0261256132275453,-0.00204281324566976
"HRF_SQ_25_yrfwd",1,1949,0.0315111962057302,-0.00490805779803764
"IRF_poorrec_25_yrfwd",1,1949,-0.0324292895645328,-0.00680417551651646
"IRF_SQ_25_yrfwd",1,1949,0.0331658437973798,-0.0096163599845813
"IRFSelex_poorrec_25_yrfwd",1,1949,-0.0306317000787354,-0.00035113291082942
"IRFSelex_SQ_25_yrfwd",1,1949,0.0526824541214948,0.0107040917127952
"LRF_poorrec_25_yrfwd",1,1949,-0.0277584640542668,-0.00886571585076377
"LRF_SQ_25_yrfwd",1,1949,0.0297593593282275,-0.00571956496973232
"XLRF_poorrec_25_yrfwd",1,1949,-0.0288292653382593,0.00250318750653502
"XLRF_SQ_25_yrfwd",1,1949,0.0347062939781519,-0.00658101104430043
"HRF_poorrec_25_yrfwd",2,1949,0.0508800193810188,0.0231841356590298
"HRF_SQ_25_yrfwd",2,1949,0.0938799906698286,0.0178843695915778
"IRF_poorrec_25_yrfwd",2,1949,0.0590297377505905,0.020378193553824
"IRF_SQ_25_yrfwd",2,1949,0.0854318119970454,0.0281234052713634
"IRFSelex_poorrec_25_yrfwd",2,1949,0.0469917025013628,0.0265269209701257
"IRFSelex_poorrec_qprior_25_yrfwd",2,1949,0.0331899945490885,0.0151736235199749
"IRFSelex_SQ_25_yrfwd",2,1949,0.0757264853733874,0.0251894947275443
"LRF_poorrec_25_yrfwd",2,1949,0.0527333292956211,0.018006095667332
"LRF_SQ_25_yrfwd",2,1949,0.0949515025463593,0.024114247725049
"LRFSelex_poorrec_25_yrfwd",2,1949,0.0518345345527224,0.0371529831471809
"XLRF_poorrec_25_yrfwd",2,1949,0.0527890497244261,0.0406924028883414
"XLRF_SQ_25_yrfwd",2,1949,0.0871812191424016,0.0390787520892409
"HRF_poorrec_25_yrfwd",3,1949,-0.00370177457452601,0.028572855397225
"HRF_SQ_25_yrfwd",3,1949,-0.127961843486374,0.0122631218368778
"IRF_poorrec_25_yrfwd",3,1949,-0.0050003028284175,0.0245434101716182
"IRF_SQ_25_yrfwd",3,1949,-0.122405046067722,0.0220901615679568
"IRFSelex_poorrec_25_yrfwd",3,1949,-0.00534673853794433,0.0296559053532944
